code,EN,FR,DE,IT,PT,AR,RU,ES,JA,ZH
title1,The rise of unemployment in southern Europe,,,,,,,,,
descr1,Annual unemployment rate by european regions,,,,,,,,,
leg.title,Unemployment %,,,,,,,,,
descr2,Unemployment rate in 2015 by european regions,,,,,,,,,
eurozone,Eurozone,,,,,,,,,
switzerland,Switzerland,,,,,,,,,
source,Source,source,Quelle,Fonte,fonte,المصدر,Источник,Fuente,出典,来源
source.name,Eurostat,Eurostat,Eurostat,Eurostat,Eurostat,Eurostat,Eurostat,Eurostat,Eurostat,Eurostat
source.url,http://appsso.eurostat.ec.europa.eu/nui/show.do?dataset=lfst_r_lfu3rt&lang=en,http://appsso.eurostat.ec.europa.eu/nui/show.do?dataset=lfst_r_lfu3rt&lang=en,http://appsso.eurostat.ec.europa.eu/nui/show.do?dataset=lfst_r_lfu3rt&lang=en,http://appsso.eurostat.ec.europa.eu/nui/show.do?dataset=lfst_r_lfu3rt&lang=en,http://appsso.eurostat.ec.europa.eu/nui/show.do?dataset=lfst_r_lfu3rt&lang=en,http://appsso.eurostat.ec.europa.eu/nui/show.do?dataset=lfst_r_lfu3rt&lang=en,http://appsso.eurostat.ec.europa.eu/nui/show.do?dataset=lfst_r_lfu3rt&lang=en,http://appsso.eurostat.ec.europa.eu/nui/show.do?dataset=lfst_r_lfu3rt&lang=en,http://appsso.eurostat.ec.europa.eu/nui/show.do?dataset=lfst_r_lfu3rt&lang=en,http://appsso.eurostat.ec.europa.eu/nui/show.do?dataset=lfst_r_lfu3rt&lang=en
source2.name,EuroGeographics for the administrative boundaries,EuroGeographics pour les limites administratives,EuroGeographics bezuglich der Verwaltungsgrenzen,EuroGeographics per i confini amministrativi,EuroGeographics para os limites administrativos,EuroGeographics  ,EuroGeographics  ,EuroGeographics,欧州地図協会（EuroGeographics）行政区分,欧洲制图学会(EuroGeographics)政区地图
source2.url,http://ec.europa.eu/eurostat/web/gisco/geodata/reference-data/administrative-units-statistical-units/nuts,http://ec.europa.eu/eurostat/web/gisco/geodata/reference-data/administrative-units-statistical-units/nuts,http://ec.europa.eu/eurostat/web/gisco/geodata/reference-data/administrative-units-statistical-units/nuts,http://ec.europa.eu/eurostat/web/gisco/geodata/reference-data/administrative-units-statistical-units/nuts,http://ec.europa.eu/eurostat/web/gisco/geodata/reference-data/administrative-units-statistical-units/nuts,http://ec.europa.eu/eurostat/web/gisco/geodata/reference-data/administrative-units-statistical-units/nuts,http://ec.europa.eu/eurostat/web/gisco/geodata/reference-data/administrative-units-statistical-units/nuts,http://ec.europa.eu/eurostat/web/gisco/geodata/reference-data/administrative-units-statistical-units/nuts,http://ec.europa.eu/eurostat/web/gisco/geodata/reference-data/administrative-units-statistical-units/nuts,http://ec.europa.eu/eurostat/web/gisco/geodata/reference-data/administrative-units-statistical-units/nuts
code,Code,code,Code,Codice,código,الرمز,Код,código,コード,代码
code.name,ggiraph,ggiraph,ggiraph,ggiraph,ggiraph,ggiraph,ggiraph,ggiraph,ggiraph,ggiraph
code.url,https://github.com/davidgohel/ggiraph,https://github.com/davidgohel/ggiraph,https://github.com/davidgohel/ggiraph,https://github.com/davidgohel/ggiraph,https://github.com/davidgohel/ggiraph,https://github.com/davidgohel/ggiraph,https://github.com/davidgohel/ggiraph,https://github.com/davidgohel/ggiraph,https://github.com/davidgohel/ggiraph,https://github.com/davidgohel/ggiraph
title.font,OpenSans-CondensedBold,OpenSans-CondensedBold,OpenSans-CondensedBold,OpenSans-CondensedBold,OpenSans-CondensedBold,OpenSans-CondensedBold,OpenSans-CondensedBold,OpenSans-CondensedBold,PingFang SC Semibold,PingFang SC Semibold
base.font,OpenSans-CondensedLight,OpenSans-CondensedLight,OpenSans-CondensedLight,OpenSans-CondensedLight,OpenSans-CondensedLight,OpenSans-CondensedLight,OpenSans-CondensedLight,OpenSans-CondensedLight,Hiragino Sans W1,PingFang SC Light
