"time","Euro area","Germany","Greece","Italy","Japan","Spain","Switzerland","United Kingdom","United States"
2000-01-31,9,8.2,11.5,10.6,4.7,12.7,3.06253560358078,5.7,4
2000-02-29,8.9,8.1,11.6,10.6,4.9,12.4,2.90448007281113,5.7,4.1
2000-03-31,8.8,8.1,11.6,10.5,4.9,12.2,2.95300267774926,5.6,4
2000-04-30,8.7,8,11.5,10.3,4.8,12.1,2.85278096367398,5.6,3.8
2000-05-31,8.6,8,11.5,10.3,4.6,12,2.65163649412975,5.5,4
2000-06-30,8.6,8,11.4,10.2,4.7,11.9,2.50769849580131,5.3,4
2000-07-31,8.5,7.9,11.3,10,4.7,12,2.55825692380165,5.2,4
2000-08-31,8.5,7.9,11.2,10,4.6,11.8,2.58911706279425,5.2,4.1
2000-09-30,8.4,7.9,11.2,9.9,4.7,11.7,2.54435594755947,5.3,3.9
2000-10-31,8.3,7.8,10.6,9.6,4.7,11.6,2.50945564167652,5.2,3.9
2000-11-30,8.2,7.8,10.7,9.6,4.7,11.4,2.64102986931713,5.1,3.9
2000-12-31,8.1,7.7,10.6,9.6,4.8,11.1,2.55675059336934,5.1,3.9
2001-01-31,8.1,7.7,10.5,9.4,4.8,10.7,2.6162628305619,5.1,4.2
2001-02-28,8.1,7.7,10.5,9.4,4.7,10.7,2.57534337855557,5,4.2
2001-03-31,8,7.6,10.5,9.3,4.8,10.6,2.66503188571338,4.9,4.3
2001-04-30,8,7.6,10.7,9.2,4.8,10.5,2.59408044622376,4.8,4.4
2001-05-31,8,7.7,10.7,9.1,4.9,10.6,2.50253412715543,4.9,4.3
2001-06-30,8,7.7,10.7,9.1,5,10.5,2.42918400461096,5,4.5
2001-07-31,8,7.8,10.7,9.1,5,10.5,2.40017169757486,5,4.6
2001-08-31,8,7.8,10.6,9,5.1,10.6,2.13950926998466,5,4.9
2001-09-30,8,7.9,10.6,9,5.3,10.5,2.02754278557963,5,5
2001-10-31,8.1,8,10.9,8.9,5.3,10.4,2.11054598376442,5,5.3
2001-11-30,8.1,8,10.9,8.9,5.4,10.5,2.22130988617013,5.1,5.5
2001-12-31,8.1,8.1,10.8,8.8,5.4,10.7,2.40664628281114,5.1,5.7
2002-01-31,8.1,8.1,10.7,8.6,5.2,11,2.80920318368929,5,5.7
2002-02-28,8.2,8.2,10.7,8.5,5.3,11.4,2.8842242900055,5.1,5.7
2002-03-31,8.2,8.2,10.7,8.5,5.3,11.2,3.01952692561172,5.2,5.7
2002-04-30,8.3,8.3,10.3,8.9,5.3,11.3,3.02463283921483,5.2,5.9
2002-05-31,8.3,8.4,10.3,8.8,5.4,11.3,2.96210615225949,5.1,5.8
2002-06-30,8.4,8.5,10.3,8.8,5.5,11.4,2.89748778758044,5.1,5.8
2002-07-31,8.4,8.6,10.3,8.6,5.4,11.7,2.91079582227579,5.1,5.8
2002-08-31,8.5,8.7,10.2,8.6,5.5,11.8,2.97042572593072,5.2,5.7
2002-09-30,8.5,8.9,10.2,8.6,5.4,11.7,3.06534909329838,5.2,5.7
2002-10-31,8.6,9,10,8.5,5.4,11.6,3.1749070412894,5.1,5.7
2002-11-30,8.6,9.1,10,8.5,5.2,11.5,3.34961474222405,5.1,5.9
2002-12-31,8.7,9.2,10,8.4,5.4,11.6,3.5925793528546,5,6
2003-01-31,8.8,9.4,9.8,8.8,5.4,11.7,4.10115614056727,5.1,5.8
2003-02-28,8.8,9.5,9.7,8.7,5.2,11.7,4.18980192736456,5.1,5.9
2003-03-31,8.8,9.6,9.7,8.7,5.4,11.6,4.07444649828586,5,5.9
2003-04-30,8.8,9.7,9.7,8.4,5.5,11.5,4.17088901645005,4.9,6
2003-05-31,8.8,9.7,9.7,8.5,5.4,11.4,4.1546980693225,4.9,6.1
2003-06-30,8.9,9.8,9.7,8.5,5.4,11.5,4.08668836177457,5,6.3
2003-07-31,8.9,9.8,9.7,8.4,5.2,11.6,4.04014365267881,5,6.2
2003-08-31,8.9,9.8,9.7,8.4,5.1,11.6,3.92193181877653,5,6.1
